"subtype","mean_nec","median_nec","q25_nec","q75_nec","se_nec","freq_nec","mean_no","median_no","q25_no","q75_no","se_no","freq_no","pval","mean","max","prevalence"
"subtype_beta_lactam__ADC-25",7.57370563585677e-07,0,0,0,5.59691583092088e-07,2,1.79453785724838e-06,0,0,0,1.43788497245887e-06,2,0.646174664303421,1.35744592634767e-06,0.000223424634388605,0.0142857142857143
"subtype_beta_lactam__ADC-73",1.50685953668425e-06,0,0,0,1.1204827405995e-06,2,2.08846564420609e-06,0,0,0,1.2455150842032e-06,4,0.961521644714043,1.84336021317903e-06,0.000177411096674623,0.0214285714285714
"subtype_beta_lactam__ADC-77",2.51793348804764e-07,0,0,0,2.51793348804764e-07,1,2.96740320318253e-06,0,0,0,1.82988433880941e-06,3,0.559553463009171,1.82296762169476e-06,0.000228579580127949,0.0142857142857143
"subtype_beta_lactam__ADC-8",6.67876654940166e-06,0,0,0,6.67876654940166e-06,1,1.51210751060225e-06,0,0,0,1.51210751060225e-06,1,0.659211247085438,3.689485248382e-06,0.000788094452829396,0.00714285714285714
"subtype_beta_lactam__BJP-1",7.06029101856795e-06,0,0,0,2.89619606082252e-06,7,0.000141813947514019,0,0,0,7.91107456108864e-05,17,0.908459598501248,8.50249065623645e-05,0.0111072619780164,0.0857142857142857
"subtype_beta_lactam__Bla1",1.24648421734059e-05,0,0,0,1.24648421734059e-05,1,3.09947819394274e-06,0,0,0,3.09947819394274e-06,1,0.500555874738009,7.04631015671651e-06,0.0014708513764619,0.00714285714285714
"subtype_beta_lactam__CBP-1",3.05366743709054e-06,0,0,0,3.05366743709054e-06,1,8.54394754928483e-06,0,0,0,6.93789084590041e-06,2,0.622157215490413,6.2301866448601e-06,0.00108536117807555,0.0107142857142857
"subtype_beta_lactam__CDD-1",0.000971508394857096,0,0,0,0.000643947737873613,11,0.00392442845933747,0,0,0,0.00117822455083098,26,0.102297082563087,0.00267998357502074,0.105937829190906,0.132142857142857
"subtype_beta_lactam__CDD-2",0.00314284404630547,0,0,0,0.00209047674561129,11,0.00892525981411952,0,0,0,0.00293750199165334,33,0.0342564306257496,0.0064883845976836,0.343823784700772,0.157142857142857
"subtype_beta_lactam__CMY-2",1.19632144619251e-05,0,0,0,5.76109460837542e-06,6,0.00116211010797804,0,0,0,0.000671640543935492,18,0.0369576841137165,0.000677405345710536,0.0917293209359404,0.0857142857142857
"subtype_beta_lactam__CTX-M-1",0.000301230355803512,0,0,0,0.000185312205096165,3,0.000772338835001808,0,0,0,0.000267470741766459,15,0.158725959201161,0.000573800261625383,0.0330860443900156,0.0642857142857143
"subtype_beta_lactam__CTX-M-10",0.000307443530504177,0,0,0,0.000123317424405521,9,7.81947120053273e-05,0,0,0,2.44956270481885e-05,14,0.846145314607386,0.000174806714086985,0.00728455434701863,0.0821428571428571
"subtype_beta_lactam__CTX-M-101",1.88083729667378e-06,0,0,0,1.36317454906004e-06,2,8.68694359562497e-06,0,0,0,3.36498824409597e-06,8,0.576590710057929,5.81865594106697e-06,0.000325712603439525,0.0357142857142857
"subtype_beta_lactam__CTX-M-103",2.32867749025831e-06,0,0,0,1.77377670869155e-06,2,4.70938520848376e-06,0,0,0,2.45917899471201e-06,4,0.634378119649417,3.70608695580303e-06,0.00024382596114311,0.0214285714285714
"subtype_beta_lactam__CTX-M-107",0.00107786708667518,0,0,0,0.000669216805349975,3,0.00212583828515439,0,0,0,0.00067181929125572,16,0.147532050066684,0.00168419328008101,0.0649492823280026,0.0678571428571429
"subtype_beta_lactam__CTX-M-108",0.00420369779895469,0,0,0,0.00265415278015062,9,0.00912235739497669,0,0,0,0.00277746404818326,17,0.508151601797495,0.0070494937080817,0.266055583569731,0.0928571428571429
"subtype_beta_lactam__CTX-M-109",0.00237064162066304,0,0,0,0.00146030902635423,3,0.00523086310510356,0,0,0,0.00161465663119412,18,0.0737938241134988,0.00402548405094648,0.140653574733287,0.075
"subtype_beta_lactam__CTX-M-11",0.0006129547536359,0,0,0,0.000362646989793463,3,0.00136793450398484,0,0,0,0.000422040702436916,15,0.172803738383819,0.00104976446633778,0.0339005162509445,0.0642857142857143
"subtype_beta_lactam__CTX-M-114",0,0,0,0,0,0,1.80772090616193e-06,0,0,0,1.34820069380377e-06,2,0.321259351150321,1.04589566713655e-06,0.00019670670506006,0.00714285714285714
"subtype_beta_lactam__CTX-M-116",2.43647628657523e-06,0,0,0,2.43647628657523e-06,1,0,0,0,0,0,0,0.0613688291394028,1.02680072077099e-06,0.000287504201815877,0.00357142857142857
"subtype_beta_lactam__CTX-M-117",0.00156259781875129,0,0,0,0.000961985749816522,3,0.00371710301828997,0,0,0,0.00113940636777261,17,0.0793079282455067,0.00280913296991295,0.0923824093060494,0.0714285714285714
"subtype_beta_lactam__CTX-M-12",9.43054377650922e-05,0,0,0,5.86493620702229e-05,4,0.000155353054888691,0,0,0,4.54142920677124e-05,15,0.233199508315685,0.000129625844815174,0.00540328615200552,0.0678571428571429
"subtype_beta_lactam__CTX-M-123",0.00129772595751502,0,0,0,0.000800309395222348,4,0.00294714269497319,0,0,0,0.0008880623295109,17,0.215782659897473,0.00225203135561582,0.0766412032203599,0.075
"subtype_beta_lactam__CTX-M-131",2.33545321057195e-06,0,0,0,1.550452621387e-06,3,2.18226569397406e-06,0,0,0,1.18339894478114e-06,4,0.33123634533849,2.2468232902546e-06,0.000167147051165339,0.025
"subtype_beta_lactam__CTX-M-132",6.304662451314e-05,0,0,0,3.63804981639162e-05,3,0.000137129788967455,0,0,0,4.29801432641619e-05,17,0.107484468717476,0.000105909026804565,0.00346559381280301,0.0714285714285714
"subtype_beta_lactam__CTX-M-139",6.19513563126508e-06,0,0,0,3.75593440816456e-06,3,3.38535270854113e-05,0,0,0,1.20245792613805e-05,10,0.650852394430682,2.21974906868783e-05,0.00124621730192464,0.0464285714285714
"subtype_beta_lactam__CTX-M-142",1.38960702915526e-06,0,0,0,1.38960702915526e-06,1,1.44978648260795e-06,0,0,0,1.05333425161798e-06,2,0.951080192942857,1.42442514151003e-06,0.000163973629440321,0.0107142857142857
"subtype_beta_lactam__CTX-M-144",0.000460299101609787,0,0,0,0.000284890473212595,3,0.000960919287705063,0,0,0,0.000296206145236367,15,0.157125009282011,0.000749943637850625,0.0277221660941671,0.0642857142857143
"subtype_beta_lactam__CTX-M-15",0.00190703249941973,0,0,0,0.00117271425336663,3,0.00441431141635846,0,0,0,0.00136706564612738,17,0.0957029778967817,0.00335767244421999,0.109774925802479,0.0714285714285714
"subtype_beta_lactam__CTX-M-155",5.27689300147642e-06,0,0,0,3.16613112578362e-06,3,1.2462044280806e-05,0,0,0,4.72818546167613e-06,9,0.831893269378285,9.43401624165995e-06,0.000504265898096132,0.0428571428571429
"subtype_beta_lactam__CTX-M-156",3.46745963305956e-06,0,0,0,2.30960176121058e-06,3,4.96974310550992e-06,0,0,0,1.93576356335373e-06,7,0.732783167400382,4.33663792783441e-06,0.000246432172985038,0.0357142857142857
"subtype_beta_lactam__CTX-M-157",5.39041140674125e-05,0,0,0,3.14743610243502e-05,3,0.000132126232864675,0,0,0,4.58729683451647e-05,10,0.709614869380857,9.9161197085829e-05,0.00384836487552604,0.0464285714285714
"subtype_beta_lactam__CTX-M-2",1.05342061642975e-05,0,0,0,6.11227677663688e-06,4,6.78611955393149e-06,0,0,0,2.24002052436157e-06,10,0.639754821549298,8.3656703397286e-06,0.000606213714539782,0.05
"subtype_beta_lactam__CTX-M-22",0.000202404488812771,0,0,0,0.000125285707692617,4,0.000463001504838801,0,0,0,0.000141400970408977,16,0.191682172492243,0.000353178476656402,0.0120278252455102,0.0714285714285714
"subtype_beta_lactam__CTX-M-23",2.70225155522605e-05,0,0,0,1.55807018732066e-05,3,6.57462367168252e-05,0,0,0,2.02276514414478e-05,14,0.219018463392263,4.94269542260443e-05,0.00163907355893146,0.0607142857142857
"subtype_beta_lactam__CTX-M-26",2.00239143525438e-05,0,0,0,1.79864681596988e-05,3,0,0,0,0,0,0,0.325454455733229,8.4386496200006e-06,0.00211490930503047,0.0107142857142857
"subtype_beta_lactam__CTX-M-28",0,0,0,0,0,0,3.23976589330071e-06,0,0,0,3.23976589330071e-06,1,0.592980098017424,1.87443598112398e-06,0.000524842074714715,0.00357142857142857
"subtype_beta_lactam__CTX-M-29",1.61729245459281e-06,0,0,0,1.24791855001541e-06,2,4.23915704312932e-07,0,0,0,4.23915704312932e-07,1,0.131383490981026,9.26838763359451e-07,0.00013783893244912,0.0107142857142857
"subtype_beta_lactam__CTX-M-3",0.00896915743116217,0,0,0,0.00504706715224148,14,0.0187743360290318,0,0,0,0.00568147188765251,27,0.238908673627616,0.0146421536199296,0.471466113024606,0.146428571428571
"subtype_beta_lactam__CTX-M-30",0.000157871352879465,0,0,0,9.54269754474199e-05,4,0.000277171979822475,0,0,0,9.79249277582721e-05,13,0.437424465550122,0.000226895287039349,0.00859501221178945,0.0607142857142857
"subtype_beta_lactam__CTX-M-31",1.37976132270617e-06,0,0,0,1.37976132270617e-06,1,2.33793368034449e-07,0,0,0,2.33793368034449e-07,1,0.899684931790986,7.16737006074674e-07,0.000162811836079328,0.00714285714285714
"subtype_beta_lactam__CTX-M-32",4.42212654405521e-06,0,0,0,2.77449999702055e-06,3,2.94830729406816e-05,0,0,0,2.23944267337183e-05,7,0.879313394316671,1.89216741021033e-05,0.00360041663254294,0.0357142857142857
"subtype_beta_lactam__CTX-M-33",1.37867851185548e-05,0,0,0,8.10685930204684e-06,3,3.53439136817136e-05,0,0,0,1.33966661603614e-05,8,0.546323839335122,2.62591237872396e-05,0.00139005753054866,0.0392857142857143
"subtype_beta_lactam__CTX-M-34",4.78469050435321e-05,0,0,0,2.85443979531276e-05,3,0.000106040566164659,0,0,0,4.27756531811698e-05,11,0.596495904276617,8.1516094692184e-05,0.00576276598036757,0.05
"subtype_beta_lactam__CTX-M-35",9.42185183613255e-05,0,0,0,3.89142298219446e-05,11,9.06485672221675e-06,0,0,0,4.20557865676567e-06,8,0.357544873827399,4.49510426986983e-05,0.00302870877534999,0.0678571428571429
"subtype_beta_lactam__CTX-M-36",0,0,0,0,0,0,9.01612392848684e-07,0,0,0,6.67003403477053e-07,2,0.320787675822741,5.21647170148167e-07,9.6144081738173e-05,0.00714285714285714
"subtype_beta_lactam__CTX-M-37",7.43974706768669e-05,0,0,0,4.52205151916776e-05,3,0.000140674196109207,0,0,0,4.84129250725548e-05,10,0.713282286256872,0.000112743290391292,0.00441210626871858,0.0464285714285714
"subtype_beta_lactam__CTX-M-42",0.000356365579932537,0,0,0,0.000217609144680466,4,0.000708901027810117,0,0,0,0.000221632087138245,14,0.334010305399215,0.000560332517633137,0.020684110203315,0.0642857142857143
"subtype_beta_lactam__CTX-M-43",2.64503472415144e-06,0,0,0,2.64503472415144e-06,1,5.30278861845457e-07,0,0,0,5.30278861845457e-07,1,0.663765231692039,1.42149740381726e-06,0.00031211409744987,0.00714285714285714
"subtype_beta_lactam__CTX-M-5",4.07056604500028e-07,0,0,0,4.07056604500028e-07,1,5.0191971529209e-07,0,0,0,5.0191971529209e-07,1,0.435815845250036,4.61941690029721e-07,8.13109938773186e-05,0.00714285714285714
"subtype_beta_lactam__CTX-M-52",0.000165794985426876,0,0,0,9.94424555015422e-05,5,0.000425607746354182,0,0,0,0.00014051380797632,14,0.456803061306023,0.000316115225677675,0.0149475022878751,0.0678571428571429
"subtype_beta_lactam__CTX-M-53",0.000376127323770824,0,0,0,0.000232182906175796,5,0.000928247255115115,0,0,0,0.000291290411852358,16,0.206399057602348,0.00069556814119145,0.0258537206004469,0.075
"subtype_beta_lactam__CTX-M-54",0.000125615674247882,0,0,0,8.36690180962407e-05,4,0.00031963537852498,0,0,0,9.95879409697116e-05,13,0.450270432300074,0.000237869931722489,0.0089154221508091,0.0607142857142857
"subtype_beta_lactam__CTX-M-55",0.00335284861781321,0,0,0,0.00211628369470366,4,0.00756402886482084,0,0,0,0.00235074740186312,17,0.13502540243829,0.00578931718929619,0.211260218207469,0.075
"subtype_beta_lactam__CTX-M-58",5.32594145246447e-06,0,0,0,3.47018359917922e-06,3,1.2270806947988e-05,0,0,0,7.0152244007657e-06,6,0.440640028507647,9.34404220344592e-06,0.00104968414942943,0.0321428571428571
"subtype_beta_lactam__CTX-M-59",3.67463660690326e-06,0,0,0,2.95127842711014e-06,2,3.08901186419291e-06,0,0,0,1.52264982038635e-06,5,0.461208236287418,3.33581086290656e-06,0.000334779518926814,0.025
"subtype_beta_lactam__CTX-M-60",5.33191823923883e-06,0,0,0,4.04369815796793e-06,3,2.72314229500178e-06,0,0,0,1.65135525052755e-06,3,0.231914296100551,3.82255501435882e-06,0.000463767048225965,0.0214285714285714
"subtype_beta_lactam__CTX-M-62",0.000102499757278226,0,0,0,6.11630474469195e-05,4,0.00015511106059524,0,0,0,5.44132860985665e-05,11,0.739275396075373,0.000132939154197356,0.0058573416554417,0.0535714285714286
"subtype_beta_lactam__CTX-M-64",1.0527325978449e-06,0,0,0,1.0527325978449e-06,1,1.59605897111546e-06,0,0,0,1.25495375788099e-06,2,0.622157215490413,1.36708571380858e-06,0.000192772570958859,0.0107142857142857
"subtype_beta_lactam__CTX-M-66",0,0,0,0,0,0,5.09600288186727e-07,0,0,0,5.09600288186727e-07,1,0.592980098017424,2.94840166736606e-07,8.25552466862498e-05,0.00357142857142857
"subtype_beta_lactam__CTX-M-68",2.81305933785774e-05,0,0,0,1.6503167676491e-05,3,4.93298128856448e-05,0,0,0,1.73483654423168e-05,10,0.850164026894613,4.03958560933807e-05,0.00151832055519376,0.0464285714285714
"subtype_beta_lactam__CTX-M-69",2.54272182903064e-06,0,0,0,1.50064527044155e-06,3,1.73675666794805e-05,0,0,0,5.95926228822613e-06,10,0.745463527344303,1.11199534925052e-05,0.000486971129827464,0.0464285714285714
"subtype_beta_lactam__CTX-M-71",7.13631636906086e-06,0,0,0,4.5544320906018e-06,3,1.29447824571805e-05,0,0,0,4.33702946342078e-06,10,0.815689602349011,1.04969288914729e-05,0.000463527182519475,0.0464285714285714
"subtype_beta_lactam__CTX-M-72",0,0,0,0,0,0,6.92892908286605e-06,0,0,0,3.26363687610688e-06,6,0.091949813951725,4.00888039794393e-06,0.000347295968727686,0.0214285714285714
"subtype_beta_lactam__CTX-M-74",5.53975956750923e-06,0,0,0,3.29201203943432e-06,3,1.54607166591984e-06,0,0,0,1.25677518129816e-06,2,0.341000000990671,3.22912585301822e-06,0.000302656094496844,0.0178571428571429
"subtype_beta_lactam__CTX-M-77",1.79718841448509e-05,0,0,0,9.04958561148639e-06,7,8.45387830969826e-06,0,0,0,5.4067943941429e-06,4,0.387220369496224,1.24650379116555e-05,0.000787465571733227,0.0392857142857143
"subtype_beta_lactam__CTX-M-78",1.56970519623774e-05,0,0,0,1.34773680215416e-05,3,4.55745637803267e-07,0,0,0,3.39602465214824e-07,2,0.444786425826302,6.87886758887381e-06,0.00157878144076924,0.0178571428571429
"subtype_beta_lactam__CTX-M-79",3.08520925072771e-05,0,0,0,1.92028738918105e-05,3,7.30110451545401e-05,0,0,0,2.57677490749055e-05,12,0.363501879109202,5.52440579674793e-05,0.00273028906623363,0.0535714285714286
"subtype_beta_lactam__CTX-M-80",2.04736501032976e-06,0,0,0,1.47247678868671e-06,2,2.75089044446189e-06,0,0,0,1.22261613660783e-06,5,0.94761311154423,2.45440472579192e-06,0.000145754337280286,0.025
"subtype_beta_lactam__CTX-M-82",0,0,0,0,0,0,3.59795690150944e-06,0,0,0,2.25470474607344e-06,3,0.252790724453935,2.08167506444475e-06,0.000310796593994895,0.0107142857142857
"subtype_beta_lactam__CTX-M-88",0,0,0,0,0,0,2.31866903122175e-06,0,0,0,1.19029331003119e-06,4,0.115511439416954,1.3415156537783e-06,0.000137010923287994,0.0142857142857143
"subtype_beta_lactam__CTX-M-89",3.27151921074331e-06,0,0,0,2.30341778378484e-06,2,4.80309696483539e-06,0,0,0,2.05625308545202e-06,6,0.628865802602891,4.15764633989658e-06,0.000193996628955656,0.0285714285714286
"subtype_beta_lactam__CTX-M-95",1.52212524830434e-05,0,0,0,6.02812327802843e-06,8,1.91849201295824e-05,0,0,0,6.43987611261511e-06,12,0.849292675407374,1.75145173356838e-05,0.000610520597407524,0.0714285714285714
"subtype_beta_lactam__CTX-M-96",1.88844562042384e-05,0,0,0,1.27604801770507e-05,3,5.95781583580315e-05,0,0,0,2.0282530565064e-05,12,0.439916919974676,4.24286695932187e-05,0.00164684678428361,0.0535714285714286
"subtype_beta_lactam__CblA-1",8.81994647112724e-06,0,0,0,6.30081228018733e-06,2,1.85472608033702e-05,0,0,0,1.32444885712631e-05,2,0.938983540365607,1.44478926204964e-05,0.0017441556657438,0.0142857142857143
"subtype_beta_lactam__CfxA",0.00231298886214352,0,0,0,0.0013235220945459,6,0.000297926253652413,0,0,0,0.000175623229632772,11,0.841568144510332,0.00114713121008795,0.107708871943469,0.0607142857142857
"subtype_beta_lactam__CfxA2",0.0312449530576591,0,0,0,0.0178163418549446,15,0.00464775101382526,0,0,0,0.0025282266516472,17,0.120394307274474,0.0158565718751552,1.38136679430748,0.114285714285714
"subtype_beta_lactam__CfxA3",0.0125485895086047,0,0,0,0.00709765975394105,16,0.00193924970166854,0,0,0,0.000880483032750291,14,0.0609141954812166,0.00641032862030591,0.547771935927505,0.107142857142857
"subtype_beta_lactam__CfxA4",0.00215279963807093,0,0,0,0.001230748724031,6,0.000285844356962885,0,0,0,0.000158465545767108,11,0.865179551575874,0.00107263265400127,0.0995909697575975,0.0607142857142857
"subtype_beta_lactam__CfxA5",0.0105264854598088,0,0,0,0.00600920893512241,12,0.00140794282753678,0,0,0,0.000763057792553922,13,0.100973208115288,0.00525075722256569,0.470474499231612,0.0892857142857143
"subtype_beta_lactam__CfxA6",0.000492945605454185,0,0,0,0.000286588411014272,5,0.000214520172998327,0,0,0,0.000115654312721579,10,0.828769592766527,0.000331856605247581,0.0228240645249781,0.0535714285714286
"subtype_beta_lactam__Escherichia coli ampC",0.125683547177255,0.000148817692059004,0,0.119140843111939,0.0218675397344722,66,0.145016265868564,0.000310106269970885,0,0.1584532588875,0.0208015608123303,101,0.798360879737573,0.136868905848655,0.883742366789034,0.596428571428571
"subtype_beta_lactam__IDC-1",1.68141628202228e-06,0,0,0,1.35723149779419e-06,2,0,0,0,0,0,0,0.0888082374319643,7.0859686170939e-07,0.000154351687597202,0.00714285714285714
