contig	length	reference	order	evidence	score	amb_region
S_ID002_T1_k141_468	1514	NZ_OU015947.1	Lactobacillales	Transformer	0.9464066624641418	0-1513
S_ID002_T1_k141_472	1144	NZ_CP071959.1	Lactobacillales	Transformer	0.9992074370384216	0-19,485-1144
S_ID002_T1_k141_474	1576	NZ_LR135259.1	Lactobacillales	Transformer	0.999948263168335	1349-1575
S_ID002_T1_k141_540	4402	NZ_MT022086.1	Lactobacillales	Transformer	0.9999556541442872	
S_ID002_T1_k141_546	2605	NZ_CP032307.1	Lactobacillales	Transformer	0.3663528859615326	0-2605
S_ID002_T1_k141_557	14808	NZ_LR135484.1	Lactobacillales	Transformer	0.9309450387954712	0-10395
S_ID002_T1_k141_568	3419	NZ_CP071959.1	Lactobacillales	Transformer	0.9997377991676332	3199-3203
S_ID002_T1_k141_602	5506	CP066206.1	Lactobacillales	Transformer	0.9993093013763428	0-247,269-4863,5100-5505
S_ID002_T1_k141_614	4058	CP071273.1	Lactobacillales	Transformer	0.9966397285461426	139-4057
S_ID002_T1_k141_617	4458	NZ_CP046076.1	Lactobacillales	Transformer	0.9998056292533876	0-770,2323-4457
S_ID002_T1_k141_621	2208	AP024832.1	Lactobacillales	Transformer	0.9998887777328492	
S_ID002_T1_k141_622	4363	NC_008500.1	Lactobacillales	Transformer	0.9999197721481324	
S_ID002_T1_k141_653	1267	NZ_CP071930.1	Lactobacillales	Transformer	0.9951801300048828	
S_ID002_T1_k141_669	1342	NZ_CP071959.1	Lactobacillales	Transformer	0.999445140361786	1171-1341
S_ID002_T1_k141_686	2330	NZ_CP066605.1	Lactobacillales	Transformer	0.9987928867340088	
S_ID002_T1_k141_713	4423	NZ_CP046076.1	Lactobacillales	Transformer	0.9999160766601562	0-468
S_ID002_T1_k141_724	1063	NZ_CP059750.1	Lactobacillales	Transformer	0.9351114630699158	0-1062
S_ID002_T1_k141_725	2270	NZ_CP044267.1	Lactobacillales	Transformer	0.8767799735069275	145-184,2123-2135,2144-2147,2149-2322
S_ID002_T1_k141_741	2339	NZ_CP042838.1	Lactobacillales	Transformer	0.9014922380447388	0-967,1408-2337
S_ID002_T1_k141_742	19020	NZ_CP038997.1	Lactobacillales	Transformer	0.9976971745491028	1392-3036,4944-8862,9869-14465
S_ID002_T1_k141_784	1317	NC_013317.1	Lactobacillales	Transformer	0.9848875999450684	0-962,1164-1316
S_ID002_T1_k141_789	6374	NZ_CP025686.1	Lactobacillales	Transformer	0.0076260408386588	0-6325
S_ID002_T1_k141_794	1806	NZ_CP019990.1	Lactobacillales	Transformer	0.9992007613182068	0-145
S_ID002_T1_k141_803	6927	NZ_LR135236.1	Lactobacillales	Transformer	0.9952383041381836	135-6786
S_ID002_T1_k141_827	10288	CP019972.1	Lactobacillales	Transformer	0.0114419171586632	0-10288
S_ID002_T1_k141_840	1508	NZ_CP071959.1	Lactobacillales	Transformer	0.9999514818191528	0-236,1361-1507
S_ID002_T1_k141_868	1343	NZ_LR135236.1	Lactobacillales	Transformer	0.923579752445221	598-1342
S_ID002_T1_k141_870	1528	NZ_LR135416.1	Lactobacillales	Transformer	0.9995243549346924	
S_ID002_T1_k141_892	1377	NZ_CP059749.1	Lactobacillales	Transformer	0.4881112575531006	1-440
S_ID002_T1_k141_901	4177	NZ_OU015947.1	Lactobacillales	Transformer	0.9998607635498048	0-221,235-3736
S_ID002_T1_k141_946	6891	NZ_CP046076.1	Lactobacillales	Transformer	0.999864101409912	
S_ID002_T1_k141_947	2081	NZ_CP046076.1	Lactobacillales	Transformer	0.9997255206108092	
S_ID002_T1_k141_958	5594	NZ_CP012652.1	Lactobacillales	Transformer	0.937824249267578	2737-4480
S_ID002_T1_k141_971	10681	NZ_CP059797.1	Lactobacillales	Transformer	0.7620872259140015	3385-10514
S_ID002_T1_k141_974	7084	NZ_CP025687.1	Lactobacillales	Transformer	0.9998959302902222	0-150
S_ID002_T1_k141_996	34359	CP019972.1	Lactobacillales	Transformer	0.753044605255127	8118-34357
S_ID002_T1_k141_1004	1679	LR962534.1	Lactobacillales	Transformer	0.6815454959869385	0-1678
S_ID002_T1_k141_1013	2903	NZ_CP046076.1	Lactobacillales	Transformer	0.9985907673835754	8-2764
S_ID002_T1_k141_1032	4419	NZ_CP040850.1	Lactobacillales	Transformer	0.9982275366783142	0-155,643-1068
S_ID002_T1_k141_1070	2667	NZ_CP071959.1	Lactobacillales	Transformer	0.9987634420394896	0-2053,2141-2666
S_ID002_T1_k141_1105	2552	NZ_OU015947.1	Lactobacillales	Transformer	0.9997944235801696	0-173,2407-2551
S_ID002_T1_k141_1125	19207	CP019971.1	Lactobacillales	Transformer	0.9999730587005616	0-139,19087-19229
S_ID002_T1_k141_1130	2603	NZ_CP046076.1	Lactobacillales	Transformer	0.9996578693389891	2184-2474
S_ID002_T1_k141_1134	8973	NZ_CP044267.1	Lactobacillales	Transformer	0.99764084815979	141-555
S_ID002_T1_k141_1154	1442	NZ_CP059758.1	Lactobacillales	Transformer	0.9983579516410828	55-1462
S_ID002_T1_k141_1178	9134	NZ_CP046076.1	Lactobacillales	Transformer	0.9999383687973022	74-117,126-134,137-139,8177-8265,8271-8292,8310-8326,8335-8346,8350-8367,8371-8382,8386-8397,8401-8409,8411-8417,8424-8432,8435-8436,8439-8443,8445-8446,8449-8456,8459-8462,8465-8466,8469-8473,8475-8476,8479-8483,8485-8486,8489-8496,8500-8511,8515-8518,8527-8533,8542-8720,8724-9290
S_ID002_T1_k141_1185	1273	NZ_LR135206.1	Lactobacillales	Transformer	0.5791441202163696	
S_ID002_T1_k141_1193	4063	NZ_AP022342.1	Lactobacillales	Transformer	0.9998612403869628	
S_ID002_T1_k141_1194	1906	NZ_CP059741.1	Lactobacillales	Transformer	0.982262909412384	
S_ID002_T1_k141_1199	1450	NZ_AJ242477.1	Lactobacillales	Transformer	0.999870777130127	
S_ID002_T1_k141_1241	5434	NZ_OU015947.1	Lactobacillales	Transformer	0.9993010759353638	2863-5433
S_ID002_T1_k141_1255	3695	NZ_CP041255.1	Lactobacillales	Transformer	0.9990473389625548	
S_ID002_T1_k141_1288	1030	NZ_CP072883.1	Lactobacillales	Transformer	0.1269311159849167	0-1010
S_ID002_T1_k141_1289	1669	NZ_CP033210.1	Lactobacillales	Transformer	0.9974850416183472	
S_ID002_T1_k141_1308	4383	CP019972.1	Lactobacillales	Transformer	0.1562426537275314	0-4381
S_ID002_T1_k141_1341	1053	NZ_CP046076.1	Lactobacillales	Transformer	0.9983059167861938	0-1052
S_ID002_T1_k141_1344	1120	NZ_OU015947.1	Lactobacillales	Transformer	0.9991171956062316	0-1118
S_ID002_T1_k141_1355	1245	NZ_CP044267.1	Lactobacillales	Transformer	0.9651896357536316	231-1243
S_ID002_T1_k141_1358	3295	CP019971.1	Lactobacillales	Transformer	0.999729573726654	0-148,3132-3294
S_ID002_T1_k141_1376	1490	NZ_CP048004.1	Lactobacillales	Transformer	0.9663586616516112	0-1342
S_ID002_T1_k141_1380	2761	NZ_LR135484.1	Lactobacillales	Transformer	0.9865002036094666	0-2760
S_ID002_T1_k141_1388	1945	NZ_CP020439.1	Lactobacillales	Transformer	0.9877204298973083	0-141
S_ID002_T1_k141_1391	3099	NZ_CP025687.1	Lactobacillales	Transformer	0.9997650980949402	286-1608
S_ID002_T1_k141_1395	3827	NZ_OU015947.1	Lactobacillales	Transformer	0.999979853630066	3679-3826
S_ID002_T1_k141_1404	1775	NZ_CP072587.1	Lactobacillales	Transformer	0.8865271210670471	132-1635
S_ID002_T1_k141_1432	5716	NZ_CP040873.1	Lactobacillales	Transformer	0.9999545812606812	139-140
S_ID002_T1_k141_1436	2217	NZ_OU015947.1	Lactobacillales	Transformer	0.9959220886230468	0-2216
S_ID002_T1_k141_1469	1345	CP066207.1	Lactobacillales	Transformer	0.9951801300048828	
S_ID002_T1_k141_1476	7451	NZ_CP038997.1	Lactobacillales	Transformer	0.999596893787384	0-142
S_ID002_T1_k141_1477	20703	NZ_MT022086.1	Lactobacillales	Transformer	0.9999796152114868	19941-20701
S_ID002_T1_k141_1479	3252	NZ_CP071959.1	Lactobacillales	Transformer	0.9961917400360109	0-1129,2157-3251
S_ID002_T1_k141_1496	1839	NZ_OU015349.1	Lactobacillales	Transformer	0.9937783479690552	
S_ID002_T1_k141_1500	6697	NZ_CP046076.1	Lactobacillales	Transformer	0.9995777010917664	142-143,6654-6797
S_ID002_T1_k141_1515	4428	NZ_CP059797.1	Lactobacillales	Transformer	0.7765903472900391	0-4437
S_ID002_T1_k141_1524	2093	NC_019231.1	Lactobacillales	Transformer	0.9996154308319092	1772-2094
S_ID002_T1_k141_1589	32490	NZ_CP039730.1	Lactobacillales	Transformer	0.9999860525131226	
S_ID002_T1_k141_1622	1845	NZ_CP064407.1	Lactobacillales	Transformer	0.9983229041099548	455-463,1284-1845
S_ID002_T1_k141_1650	2587	NZ_CP065525.1	Lactobacillales	Transformer	0.999923825263977	0-2530
S_ID002_T1_k141_1652	5554	NZ_CP042838.1	Lactobacillales	Transformer	0.6528121829032898	0-789
S_ID002_T1_k141_1653	1354	NZ_CP071959.1	Lactobacillales	Transformer	0.999891996383667	
S_ID002_T1_k141_1667	1243	NZ_CP063831.1	Lactobacillales	Transformer	0.9982616305351256	2-324,347-1119
S_ID002_T1_k141_1697	5067	NZ_AP014682.1	Lactobacillales	Transformer	0.6362628936767578	23-1839
S_ID002_T1_k141_1715	1291	NZ_CP071959.1	Lactobacillales	Transformer	0.9988784193992616	0-1290
S_ID002_T1_k141_1743	4700	NZ_LR135476.1	Lactobacillales	Transformer	0.9978502988815308	0-3636,3646-4699
S_ID002_T1_k141_1749	13005	NZ_CP066638.1	Lactobacillales	Transformer	0.999948263168335	
S_ID002_T1_k141_1761	1357	NZ_MT022086.1	Lactobacillales	Transformer	0.9870636463165284	955-1342
S_ID002_T1_k141_1768	1368	NZ_CP016729.1	Lactobacillales	Transformer	0.6732871532440186	548-1366
S_ID002_T1_k141_1792	1004	NZ_CP072580.1	Lactobacillales	Transformer	0.9998730421066284	0-1003
S_ID002_T1_k141_1817	1637	NZ_CP064407.1	Lactobacillales	Transformer	0.9990288019180298	112-150,1538-1686
S_ID002_T1_k141_1820	1100	NZ_CP040742.1	Lactobacillales	Transformer	0.9995228052139282	
S_ID002_T1_k141_1839	1527	NZ_AP022343.1	Lactobacillales	Transformer	0.9999234676361084	1227-1387
S_ID002_T1_k141_1876	1627	NZ_CP027502.1	Lactobacillales	Transformer	0.998927652835846	141-283,292-1626
S_ID002_T1_k141_1936	2797	NZ_CP065930.1	Lactobacillales	Transformer	0.2077543288469314	0-2660
S_ID002_T1_k141_1958	2075	NC_000938.1	Lactobacillales	Transformer	0.8958024978637695	
S_ID002_T1_k141_1965	1499	NZ_CP065755.1	Lactobacillales	Transformer	0.9998377561569214	
S_ID002_T1_k141_1981	4052	NZ_CP039730.1	Lactobacillales	Transformer	0.9998561143875122	
S_ID002_T1_k141_1982	1347	CP019972.1	Lactobacillales	Transformer	0.2670782506465912	0-1346
S_ID002_T1_k141_1987	3274	NZ_LR135417.1	Lactobacillales	Transformer	0.9999061822891236	
S_ID002_T1_k141_1989	4534	NZ_CP059828.1	Lactobacillales	Transformer	0.9999376535415648	
S_ID002_T1_k141_2000	4288	NC_010330.1	Lactobacillales	Transformer	0.9998220801353456	0-15
S_ID002_T1_k141_2031	10953	NZ_CP071959.1	Lactobacillales	Transformer	0.9998087286949158	0-145,268-770,1316-10952
S_ID002_T1_k141_2041	2486	NZ_LR135245.1	Lactobacillales	Transformer	0.9994556307792664	2345-2485
S_ID002_T1_k141_2047	5869	NZ_CP071959.1	Lactobacillales	Transformer	0.9998632669448853	142-150,5726-5729,5741-5744,5747-5754,5782-5799,5803-5951
S_ID002_T1_k141_2067	2391	NZ_LR135227.1	Lactobacillales	Transformer	0.9997687935829164	0-138,2249-2390
S_ID002_T1_k141_2087	1688	NZ_CP064426.1	Lactobacillales	Transformer	0.7299124598503113	
S_ID002_T1_k141_2105	1248	NZ_CP046076.1	Lactobacillales	Transformer	0.995089590549469	
S_ID002_T1_k141_2118	1418	NZ_CP020439.1	Lactobacillales	Transformer	0.9529165029525756	
S_ID002_T1_k141_2130	3711	NZ_CP047328.1	Lactobacillales	Transformer	0.9999710321426392	
S_ID002_T1_k141_2131	6352	NZ_CP019210.1	Lactobacillales	Transformer	0.9998817443847656	
S_ID002_T1_k141_2159	3047	NZ_CP020439.1	Lactobacillales	Transformer	0.9387011528015136	
S_ID002_T1_k141_105	1514	NZ_CP065755.1	Lactobacillales	BLASTn	nan	0-1513
S_ID002_T1_k141_1386	3082	NZ_CP069428.1	Lactobacillales	BLASTn	nan	0-3055
S_ID002_T1_k141_1677	1620	NZ_CP071303.1	Lactobacillales	BLASTn	nan	0-1619
S_ID002_T1_k141_2113	1126	NZ_CP059797.1	Lactobacillales	BLASTn	nan	4-1125
S_ID002_T1_k141_601	1378	NZ_CP077712.1	Bacillales	Transformer	0.9570852518081664	1231-1375
S_ID002_T1_k141_2065	1168	CP052974.1	Bacillales	Transformer	0.7148311734199524	0-1167
contig	length	reference	order	evidence	score	amb_region
S_ID002_T2_k141_40	1037	NZ_LN868946.1	Enterobacterales	Transformer	0.0018742069369181	0-1036
S_ID002_T2_k141_56	1022	NZ_MH909329.1	Enterobacterales	Transformer	0.9977251887321472	0-454
S_ID002_T2_k141_60	10608	CP071168.1	Enterobacterales	Transformer	0.999777376651764	2620-3019
S_ID002_T2_k141_64	5247	NZ_CP063877.1	Enterobacterales	Transformer	0.9995972514152528	0-158,3477-4718,4966-5246
S_ID002_T2_k141_178	3230	NZ_CP071396.1	Enterobacterales	Transformer	0.9995166063308716	3086-3229
S_ID002_T2_k141_221	7217	NZ_CP022441.1	Enterobacterales	Transformer	0.9986975193023682	
S_ID002_T2_k141_286	1356	CP071170.1	Enterobacterales	Transformer	0.996478259563446	0-352
S_ID002_T2_k141_532	2819	NZ_CP063877.1	Enterobacterales	Transformer	0.9998277425765992	0-2677
S_ID002_T2_k141_656	16838	CP071170.1	Enterobacterales	Transformer	0.9996896982192992	0-144,589-1216,1591-15067,16431-16837
S_ID002_T2_k141_661	8835	CP071170.1	Enterobacterales	Transformer	0.999664068222046	0-146,2746-3379,3492-3681,8317-8320,8326-8814,8819-8839
S_ID002_T2_k141_732	1680	NZ_CP075882.1	Enterobacterales	Transformer	0.8071882128715515	0-1209
S_ID002_T2_k141_757	141098	NZ_CP032166.1	Enterobacterales	Transformer	0.6263459920883179	111825-120372
S_ID002_T2_k141_808	6397	CP071168.1	Enterobacterales	Transformer	0.9997673630714417	1841-2170,3256-3762,6256-6396
S_ID002_T2_k141_969	188567	CP052389.1	Enterobacterales	Transformer	0.849689245223999	72634-76826,76843-182284
S_ID002_T2_k141_981	6596	CP071168.1	Enterobacterales	Transformer	0.9997531771659852	0-3300,3311-4386,6148-6595
S_ID002_T2_k141_1004	4127	NZ_CP063877.1	Enterobacterales	Transformer	0.9996521472930908	0-51,53-78,81-85,98-146,3899-4095,4099-4100,4117-4130
S_ID002_T2_k141_1010	29814	CP071168.1	Enterobacterales	Transformer	0.999822199344635	0-149,258-1196,29671-29813
S_ID002_T2_k141_1051	1317	NZ_CP068911.1	Enterobacterales	Transformer	0.9996756315231324	57-1249
S_ID002_T2_k141_1106	28933	CP071170.1	Enterobacterales	Transformer	0.9998024106025696	197-19964
S_ID002_T2_k141_1163	2342	NZ_CP075882.1	Enterobacterales	Transformer	0.9992424249649048	306-641,2108-2110,2117-2439
S_ID002_T2_k141_1225	9588	NZ_CP063877.1	Enterobacterales	Transformer	0.9996426105499268	0-435,560-2862,3229-8994,9444-9587
S_ID002_T2_k141_1237	10143	CP071168.1	Enterobacterales	Transformer	0.9995133876800536	0-143
S_ID002_T2_k141_1244	2940	NZ_CP075882.1	Enterobacterales	Transformer	0.9968329071998596	2651-2798
S_ID002_T2_k141_1268	118861	NZ_CP074582.1	Enterobacterales	Transformer	0.973907470703125	92652-105295,105576-106013,106076-118712
S_ID002_T2_k141_1310	1708	NZ_CP077783.1	Enterobacterales	Transformer	0.9963185787200928	140-1707
S_ID002_T2_k141_1318	3645	CP071169.1	Enterobacterales	Transformer	0.999761164188385	7-144,3594-3604,3609-3729
S_ID002_T2_k141_1457	3263	CP071168.1	Enterobacterales	Transformer	0.9996691942214966	
S_ID002_T2_k141_1459	1830	NZ_CP075882.1	Enterobacterales	Transformer	0.9995167255401612	0-285,417-1217,1688-1829
S_ID002_T2_k141_1495	1903	NZ_CP068446.1	Enterobacterales	Transformer	0.027992445975542	0-1902
S_ID002_T2_k141_1583	11248	NZ_MN823996.1	Enterobacterales	Transformer	0.99979966878891	
S_ID002_T2_k141_1666	9504	CP071170.1	Enterobacterales	Transformer	0.9996991157531738	0-2198,2292-2791,3673-7048,8180-9515
S_ID002_T2_k141_1697	13248	NZ_CP071064.1	Enterobacterales	Transformer	0.948525846004486	6952-7182,8004-11483
S_ID002_T2_k141_1799	2372	NZ_CP075882.1	Enterobacterales	Transformer	0.9994309544563292	0-2100
S_ID002_T2_k141_1806	201498	NZ_CP079608.1	Enterobacterales	Transformer	0.9915744662284852	74517-94890,95263-96062,96287-130847,130889-145785
S_ID002_T2_k141_1892	24926	NZ_CP075882.1	Enterobacterales	Transformer	0.9994851350784302	0-150,1832-24636,24754-24925
