id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
SRR17722452_k141_1821:387-3458	5	188	3072	0	99.97%	100%
SRR17722469_k141_14:2716-5787	5	188	3072	0	99.97%	100%
SRR17722510_k141_1073:874-3945	5	188	3072	0	99.97%	100%
SRR17722612_k141_984:411-3482	5	188	3072	0	99.97%	100%
SRR17722613_k141_215:411-3482	5	188	3072	0	99.97%	100%
SRR17722635_k141_408:527-3598	5	188	3072	0	99.97%	100%
SRR17722641_k141_3078:2592-5663	5	188	3072	0	99.97%	100%
SRR17722643_k141_122:705-3776	5	188	3072	0	99.97%	100%
SRR17722646_k141_111:2056-5127	5	188	3072	0	99.97%	100%
SRR17722664_k141_349:271-3342	5	188	3072	0	99.97%	100%
SRR17722681_k141_3571:1751-4822	5	188	3072	0	99.97%	100%
SRR17722700_k141_368:2572-5643	5	188	3072	0	99.97%	100%
SRR17722701_k141_1888:1316-4387	5	188	3072	0	99.93%	100%
SRR17722709_k141_286:2716-5787	5	188	3072	0	99.97%	100%
SRR17722782_k141_14984:158-3229	5	188	3072	0	99.93%	100%
SRR17722794_k141_899:298-3369	5	188	3072	0	99.93%	100%
SRR17722804_k141_490:2574-5645	5	188	3072	0	99.97%	100%
SRR17722815_k141_921:876-3947	5	188	3072	0	99.97%	100%
SRR17722847_k141_5112:2550-5621	5	188	3072	0	99.97%	100%
SRR17722856_k141_10612:1526-4597	5	188	3072	0	99.97%	100%
SRR17722860_k141_1993:11436-14507	5	188	3072	0	99.97%	100%
SRR17722864_k141_1716:1751-4822	5	188	3072	0	99.97%	100%
SRR17722870_k141_526:2549-5620	5	188	3072	0	99.97%	100%
SRR17779797_k141_1313:865-3936	5	188	3072	0	99.97%	100%
SRR17779830_k141_328:874-3945	5	188	3072	0	99.97%	100%
SRR17779843_k141_1602:7329-10400	5	188	3072	0	99.97%	100%
SRR17779844_k141_1204:2056-5127	5	188	3072	0	99.97%	100%
SRR17779846_k141_2041:2056-5127	5	188	3072	0	99.97%	100%
SRR17779849_k141_438:558-3629	5	188	3072	0	99.97%	100%
SRR17779892_k141_475:16202-19273	5	188	3072	0	99.97%	100%
SRR17779905_k141_414:4712-7783	5	188	3072	0	99.97%	100%
SRR17779928_k141_2425:3685-6756	5	188	3072	0	99.93%	100%
SRR17779929_k141_5216:1316-4387	5	188	3072	0	99.97%	100%
SRR17779930_k141_2024:1316-4387	5	188	3072	0	99.93%	100%
SRR17779947_k141_132:2549-5620	5	188	3072	0	99.97%	100%
SRR17779950_k141_2340:3083-6154	5	188	3072	0	99.97%	100%
SRR17779959_k141_202:737-3808	5	188	3072	0	99.97%	100%
SRR17779960_k141_928:271-3342	5	188	3072	0	99.97%	100%
SRR17779972_k141_7964:2056-5127	5	188	3072	0	99.97%	100%
SRR17779991_k141_2713:4714-7785	5	188	3072	0	99.97%	100%
SRR17780000_k141_992:2055-5126	5	188	3072	0	99.97%	100%
SRR17780004_k141_462:411-3482	5	188	3072	0	99.97%	100%
SRR17780035_k141_84:397-3468	5	188	3072	0	99.97%	100%
SRR17780038_k141_139:529-3600	5	188	3072	0	99.97%	100%
SRR17780041_k141_521:529-3600	5	188	3072	0	99.97%	100%
SRR17780058_k141_73:271-3342	5	188	3072	0	99.97%	100%
SRR17780090_k141_1949:639-3710	5	188	3072	0	99.97%	100%
SRR17780095_k141_813:521-3592	5	188	3072	0	99.97%	100%
SRR17780097_k141_1630:558-3629	5	188	3072	0	99.97%	100%
SRR17780119_k141_4384:675-3746	5	188	3072	0	99.97%	100%
SRR17780126_k141_773:2700-5771	5	188	3072	0	99.97%	100%
SRR17780159_k141_19:2519-5590	5	188	3072	0	99.97%	100%
SRR17780173_k141_336:2517-5588	5	188	3072	0	99.97%	100%
SRR17780176_k141_648:2496-5567	5	188	3072	0	99.97%	100%
SRR17780208_k141_233:558-3629	5	188	3072	0	99.97%	100%
SRR17780264_k141_2998:2481-5552	5	188	3072	0	99.97%	100%
SRR17780299_k141_247:364-3435	5	188	3072	0	99.97%	100%
SRR17780300_k141_748:4712-7783	5	188	3072	0	99.97%	100%
SRR17780301_k141_41:364-3435	5	188	3072	0	99.93%	100%
SRR17780327_k141_2993:11786-14857	5	188	3072	0	99.97%	100%
SRR17780328_k141_205:2546-5617	5	188	3072	0	99.97%	100%
SRR17780384_k141_2064:3002-6073	5	188	3072	0	99.97%	100%
SRR17780399_k141_553:2056-5127	5	188	3072	0	99.97%	100%
SRR17780447_k141_124:2056-5127	5	188	3072	0	99.97%	100%
SRR17780449_k141_143:411-3482	5	188	3072	0	99.97%	100%
SRR17780528_k141_34:2056-5127	5	188	3072	0	99.97%	100%
SRR17780535_k141_298:298-3369	5	188	3072	0	99.93%	100%
SRR17780539_k141_1140:557-3628	5	188	3072	0	99.93%	100%
SRR17780551_k141_880:2101-5172	5	188	3072	0	99.97%	100%
SRR17780553_k141_1394:2587-5658	5	188	3072	0	99.97%	100%
SRR17780596_k141_1053:411-3482	5	188	3072	0	99.97%	100%
SRR17780608_k141_177:411-3482	5	188	3072	0	99.97%	100%
SRR17780618_k141_8855:3838-6909	5	188	3072	0	99.97%	100%
SRR17780631_k141_1979:2549-5620	5	188	3072	0	99.97%	100%
SRR17780666_k141_1559:2497-5568	5	188	3072	0	99.97%	100%
SRR17780669_k141_577:2574-5645	5	188	3072	0	99.97%	100%
SRR17780688_k141_13268:539-3610	5	188	3072	0	99.97%	100%
SRR17780694_k141_509:676-3747	5	188	3072	0	99.97%	100%
SRR17780720_k141_1929:3690-6761	5	188	3072	0	99.97%	100%
SRR17780738_k141_1375:2457-5528	5	188	3072	0	99.97%	100%
SRR1779121_k141_3837:2572-5643	5	188	3072	0	99.97%	100%
SRR21171039_k141_130:1498-4569	5	188	3072	0	99.93%	100%
SRR21171053_k141_129:877-3948	5	188	3072	0	99.97%	100%
SRR21171066_k141_141:417-3488	5	188	3072	0	99.97%	100%
SRR21171077_k141_151:1503-4574	5	188	3072	0	99.97%	100%
SRR21171079_k141_29:1506-4577	5	188	3072	0	99.97%	100%
SRR21171097_k141_927:1504-4575	5	188	3072	0	99.97%	100%
SRR21171108_k141_52:1735-4806	5	188	3072	0	99.97%	100%
SRR21171109_k141_408:971-4042	5	188	3072	0	99.93%	100%
SRR21171133_k141_97:298-3369	5	188	3072	0	99.93%	100%
SRR21171179_k141_208:691-3762	5	188	3072	0	99.97%	100%
SRR21171221_k141_388:1735-4806	5	188	3072	0	99.97%	100%
SRR21171230_k141_2620:1735-4806	5	188	3072	0	99.97%	100%
SRR21171237_k141_770:82-3153	5	188	3072	0	99.97%	100%
SRR21171249_k141_581:276-3347	5	188	3072	0	99.93%	100%
SRR21171250_k141_2833:298-3369	5	188	3072	0	99.97%	100%
SRR21171251_k141_2786:1491-4562	5	188	3072	0	99.97%	100%
SRR21171277_k141_63:2529-5600	5	188	3072	0	99.97%	100%
SRR21171326_k141_361:298-3369	5	188	3072	0	99.93%	100%
SRR25947172_k141_560:14652-17723	5	188	3072	0	99.97%	100%
SRR25947206_k141_432:2716-5787	5	188	3072	0	99.97%	100%
SRR25947336_k141_4373:862-3933	5	188	3072	0	99.97%	100%
SRR3131712_k141_2581:998-4069	5	188	3072	0	99.97%	100%
SRR3132021_k141_1381:6747-9818	5	188	3072	0	99.97%	100%
SRR3132129_k141_198:529-3600	5	188	3072	0	99.97%	100%
SRR5405712_k141_3431:529-3600	5	188	3072	0	99.97%	100%
SRR5405808_k141_4857:2056-5127	5	188	3072	0	99.97%	100%
SRR5405826_k141_5894:874-3945	5	188	3072	0	99.97%	100%
SRR5405862_k141_129:1531-4602	5	188	3072	0	99.97%	100%
SRR5405868_k119_1616:1648-4719	5	188	3072	0	99.97%	100%
SRR5575418_k141_2695:1316-4387	5	188	3072	0	99.93%	100%
SRR5963138_k141_3209:937-4008	5	188	3072	0	99.97%	100%
SRR5963148_k141_6242:1394-4465	5	188	3072	0	99.97%	100%
SRR5963174_k141_4953:14658-17729	5	188	3072	0	99.97%	100%
SRR5963193_k141_464:2056-5127	5	188	3072	0	99.97%	100%
SRR5963212_k141_5929:1244-4315	5	188	3072	0	99.97%	100%
SRR5963253_k141_5888:876-3947	5	188	3072	0	99.97%	100%
SRR5963313_k141_1466:411-3482	5	188	3072	0	99.97%	100%
SRR6257398_k119_3349:916-3987	5	188	3072	0	99.97%	100%
SRR6257399_k119_1463:7820-10891	5	188	3072	0	99.97%	100%
SRR6257428_k119_2451:7820-10891	5	188	3072	0	99.97%	100%
SRR6257429_k119_775:7820-10891	5	188	3072	0	99.97%	100%
SRR6257430_k119_1839:507-3578	5	188	3072	0	99.97%	100%
SRR6257453_k119_452:2616-5687	5	188	3072	0	99.97%	100%
SRR6257491_k119_819:1951-5022	5	188	3072	0	99.93%	100%
SRR9865451_k141_1542:4610-7681	5	188	3072	0	99.97%	100%
SRR9865742_k141_1987:863-3934	5	188	3072	0	99.97%	100%
SRR9865834_k141_1783:1654-4725	5	188	3072	0	99.97%	100%
SRR3131720_k141_842:2-3001	5	188	3000	0	99.93%	97%
SRR21171075_k141_479:298-3288	5	188	2991	0	99.97%	97%
SRR3131868_k141_4469:2-2941	5	188	2940	0	99.97%	95%
SRR3131704_k141_3653:3-2939	5	188	2937	0	99.97%	95%
SRR3131915_k141_1229:445-3363	5	188	2919	0	100.00%	95%
SRR21171111_k141_1261:3-2918	5	188	2916	0	99.97%	94%
SRR17780394_k141_535:13215-16127	5	188	2913	0	99.97%	94%
SRR17780442_k141_186:3-2858	5	188	2856	0	99.96%	92%
ERR4407201_k141_929:729-3527	5	188	2799	0	99.93%	91%
ERR4407202_k141_2229:570-3368	5	188	2799	0	99.93%	91%
ERR4407203_k141_1203:731-3529	5	188	2799	0	99.93%	91%
SRR13622686_k141_715:1130-3928	5	188	2799	0	99.96%	91%
SRR13774452_k141_708:14651-17449	5	188	2799	0	99.96%	91%
SRR13774555_k141_2941:14651-17449	5	188	2799	0	99.96%	91%
SRR13774667_k141_4599:14651-17449	5	188	2799	0	99.96%	91%
SRR13774669_k141_429:14651-17449	5	188	2799	0	99.96%	91%
SRR25947129_k141_216:2821-5619	5	188	2799	0	99.96%	91%
SRR17780398_k141_479:687-3755	6	1	3069	1	100	100%
SRR17779766_k141_2407:1273-4281	7	1	3009	1	100	100%
ERR4407111_k141_2492:1400-4231	8	1	2832	1	100	100%
SRR9865822_k141_5051:2-2815	9	2	2814	1	100	100%
SRR9865505_k141_9752:3-2618	9	2	2616	0	99.96%	92%
SRR17780351_k141_6958:626-3355	10	1	2730	1	100	100%
SRR6257479_k119_10737:2-2680	11	1	2679	1	100	100%
SRR3132153_k141_613:2087-4699	12	7	2613	1	100	100%
SRR17780236_k141_75:559-3123	12	7	2565	0	100.00%	98%
SRR17722095_k141_5435:724-3285	12	7	2562	0	100.00%	98%
SRR3132159_k141_2757:2-2557	12	7	2556	0	100.00%	97%
SRR6257496_k119_1418:3-2462	12	7	2460	0	100.00%	94%
SRR21171126_k141_5648:1-2418	12	7	2418	0	100.00%	92%
SRR6257402_k119_1561:455-2830	12	7	2376	0	100.00%	90%
SRR9865765_k141_1149:2-2602	13	1	2601	1	100	100%
S_ID032_T2_k141_209:645-3047	14	2	2403	1	100	100%
SRR17722725_k141_3456:278-2449	14	2	2172	0	99.22%	90%
SRR21171161_k141_4194:3-2399	15	1	2397	1	100	100%
SRR13622903_k141_1858:1-2388	16	1	2388	1	100	100%
SRR17780442_k141_4716:3-2093	17	1	2091	1	100	100%
SRR21171142_k141_11932:2-2071	18	1	2070	1	100	100%
SRR13774564_k141_6592:2521-4575	19	1	2055	1	100	100%
SRR17722749_k141_2339:2-2050	20	1	2049	1	100	100%
S_ID064_T3_k141_3502:2477-4441	21	1	1965	1	100	100%
ERR1600436_k141_4309:1925-3880	22	128	1956	1	100	100%
ERR1600440_k141_2019:1762-3717	22	128	1956	0	100.00%	100%
ERR4406662_k141_4888:2671-4626	22	128	1956	0	100.00%	100%
ERR4407107_k141_2262:3142-5097	22	128	1956	0	99.90%	100%
ERR4407108_k141_1687:10866-12821	22	128	1956	0	99.90%	100%
ERR4407111_k141_6718:3142-5097	22	128	1956	0	99.90%	100%
S_ID077_T3_k141_774:701-2656	22	128	1956	0	99.85%	100%
S_ID082_T2_k141_3770:2723-4678	22	128	1956	0	99.39%	100%
SRR13622551_k141_62412:7306-9261	22	128	1956	0	99.95%	100%
SRR13622576_k141_551:701-2656	22	128	1956	0	99.90%	100%
SRR13622623_k141_8619:3403-5358	22	128	1956	0	99.90%	100%
SRR13622653_k141_963:8541-10496	22	128	1956	0	99.95%	100%
SRR13622684_k141_4054:1171-3126	22	128	1956	0	99.95%	100%
SRR13622786_k141_21133:29178-31133	22	128	1956	0	100.00%	100%
SRR13622840_k141_79182:357-2312	22	128	1956	0	99.95%	100%
SRR13774508_k141_894:3284-5239	22	128	1956	0	100.00%	100%
SRR13774509_k141_828:3755-5710	22	128	1956	0	100.00%	100%
SRR13774511_k141_68:3303-5258	22	128	1956	0	100.00%	100%
SRR13774513_k141_616:3303-5258	22	128	1956	0	100.00%	100%
SRR13774514_k141_3679:4001-5956	22	128	1956	0	99.95%	100%
SRR13774515_k141_210:3169-5124	22	128	1956	0	100.00%	100%
SRR13774518_k141_492:3303-5258	22	128	1956	0	100.00%	100%
SRR13774519_k141_2593:3303-5258	22	128	1956	0	100.00%	100%
SRR13774520_k141_606:3303-5258	22	128	1956	0	100.00%	100%
SRR13774569_k141_6799:36905-38860	22	128	1956	0	99.95%	100%
SRR13774572_k141_7672:1925-3880	22	128	1956	0	99.95%	100%
SRR13774591_k141_7518:3546-5501	22	128	1956	0	99.95%	100%
SRR13774608_k141_4291:1299-3254	22	128	1956	0	99.90%	100%
SRR13774632_k141_1049:3303-5258	22	128	1956	0	100.00%	100%
SRR13774635_k141_2410:3303-5258	22	128	1956	0	100.00%	100%
SRR17713669_k141_326:761-2716	22	128	1956	0	99.95%	100%
SRR17713673_k141_1239:351-2306	22	128	1956	0	99.95%	100%
SRR17721947_k141_296:17742-19697	22	128	1956	0	99.95%	100%
SRR17721951_k141_4320:18680-20635	22	128	1956	0	99.95%	100%
SRR17721975_k141_3868:2068-4023	22	128	1956	0	99.95%	100%
SRR17721976_k141_1201:1412-3367	22	128	1956	0	99.95%	100%
SRR17722034_k141_898:8286-10241	22	128	1956	0	99.90%	100%
SRR17722039_k141_158:8160-10115	22	128	1956	0	99.90%	100%
SRR17722042_k141_492:3992-5947	22	128	1956	0	99.90%	100%
SRR17722046_k141_4423:3249-5204	22	128	1956	0	99.90%	100%
SRR17722049_k141_480:3991-5946	22	128	1956	0	99.90%	100%
SRR17722052_k141_133:8289-10244	22	128	1956	0	99.90%	100%
SRR17722053_k141_1799:2907-4862	22	128	1956	0	99.90%	100%
SRR17722054_k141_1217:8269-10224	22	128	1956	0	99.90%	100%
SRR17722162_k141_1587:3651-5606	22	128	1956	0	99.90%	100%
SRR17722163_k141_4712:3651-5606	22	128	1956	0	99.90%	100%
SRR17722252_k141_4702:40956-42911	22	128	1956	0	99.95%	100%
SRR17722253_k141_4049:36286-38241	22	128	1956	0	99.95%	100%
SRR17722254_k141_7356:1925-3880	22	128	1956	0	99.95%	100%
SRR17722255_k141_3949:1925-3880	22	128	1956	0	99.95%	100%
SRR17722322_k141_2344:10225-12180	22	128	1956	0	99.95%	100%
SRR17722364_k141_185:7585-9540	22	128	1956	0	99.90%	100%
SRR17722387_k141_6053:3379-5334	22	128	1956	0	99.95%	100%
SRR17722399_k141_3341:23638-25593	22	128	1956	0	99.95%	100%
SRR17722581_k141_405:6929-8884	22	128	1956	0	100.00%	100%
SRR17722582_k141_2443:6246-8201	22	128	1956	0	100.00%	100%
SRR17722715_k141_4706:3331-5286	22	128	1956	0	99.95%	100%
SRR17722716_k141_3823:5297-7252	22	128	1956	0	99.95%	100%
SRR17722732_k141_7950:1567-3522	22	128	1956	0	99.95%	100%
SRR17722789_k141_3476:8443-10398	22	128	1956	0	99.95%	100%
SRR17722897_k141_3460:302-2257	22	128	1956	0	99.90%	100%
SRR17722939_k141_328:17742-19697	22	128	1956	0	99.95%	100%
SRR17722940_k141_372:17156-19111	22	128	1956	0	99.95%	100%
SRR17779815_k141_105:3483-5438	22	128	1956	0	100.00%	100%
SRR17779821_k141_2699:3606-5561	22	128	1956	0	100.00%	100%
SRR17779822_k141_919:3606-5561	22	128	1956	0	100.00%	100%
SRR17779858_k141_1718:4418-6373	22	128	1956	0	99.95%	100%
SRR17780497_k141_1358:351-2306	22	128	1956	0	99.90%	100%
SRR17780630_k141_2305:5452-7407	22	128	1956	0	99.95%	100%
SRR17780631_k141_2733:1925-3880	22	128	1956	0	99.95%	100%
SRR17780637_k141_581:37382-39337	22	128	1956	0	99.95%	100%
SRR17780664_k141_406:7079-9034	22	128	1956	0	99.95%	100%
SRR17780675_k141_2747:7722-9677	22	128	1956	0	99.95%	100%
SRR17780676_k141_202:2586-4541	22	128	1956	0	99.95%	100%
SRR17780679_k141_1228:2441-4396	22	128	1956	0	99.95%	100%
SRR17780680_k141_161:5176-7131	22	128	1956	0	99.95%	100%
SRR17780689_k141_1645:497-2452	22	128	1956	0	99.95%	100%
SRR17780690_k141_4998:761-2716	22	128	1956	0	99.95%	100%
SRR17780691_k141_133:761-2716	22	128	1956	0	99.95%	100%
SRR17780692_k141_1214:1613-3568	22	128	1956	0	99.95%	100%
SRR17780693_k141_736:1544-3499	22	128	1956	0	99.95%	100%
SRR1779134_k141_2314:761-2716	22	128	1956	0	100.00%	100%
SRR1779135_k141_1709:432-2387	22	128	1956	0	100.00%	100%
SRR1779147_k141_3077:2171-4126	22	128	1956	0	99.95%	100%
SRR1779148_k141_3588:10236-12191	22	128	1956	0	99.95%	100%
SRR21171099_k141_2641:1777-3732	22	128	1956	0	99.95%	100%
SRR21171100_k141_2086:2020-3975	22	128	1956	0	99.95%	100%
SRR21171217_k141_5686:1784-3739	22	128	1956	0	99.95%	100%
SRR25947340_k141_16399:36343-38298	22	128	1956	0	100.00%	100%
SRR3131762_k141_869:688-2643	22	128	1956	0	99.95%	100%
SRR3131822_k141_6880:248-2203	22	128	1956	0	99.90%	100%
SRR3132063_k141_1339:1390-3345	22	128	1956	0	99.95%	100%
SRR3132433_k141_29:274-2229	22	128	1956	0	99.95%	100%
SRR3726369_k141_6668:26555-28510	22	128	1956	0	99.95%	100%
SRR3726370_k141_975:5683-7638	22	128	1956	0	99.95%	100%
SRR3726374_k141_63:42660-44615	22	128	1956	0	99.95%	100%
SRR3726375_k141_867:1925-3880	22	128	1956	0	99.95%	100%
SRR5405730_k141_6361:3352-5307	22	128	1956	0	99.95%	100%
SRR5405772_k141_8042:34349-36304	22	128	1956	0	99.95%	100%
SRR5405774_k141_4479:40951-42906	22	128	1956	0	100.00%	100%
SRR5405775_k141_6891:35941-37896	22	128	1956	0	100.00%	100%
SRR5405776_k141_5645:18399-20354	22	128	1956	0	100.00%	100%
SRR5405778_k141_12364:17645-19600	22	128	1956	0	100.00%	100%
SRR5405813_k141_3556:761-2716	22	128	1956	0	99.95%	100%
SRR5405818_k141_667:761-2716	22	128	1956	0	99.95%	100%
SRR5405819_k141_8866:18428-20383	22	128	1956	0	99.95%	100%
SRR5405825_k141_747:18428-20383	22	128	1956	0	99.95%	100%
SRR5405828_k141_19601:9834-11789	22	128	1956	0	100.00%	100%
SRR5405913_k119_8148:5240-7195	22	128	1956	0	99.95%	100%
SRR5405978_k119_4431:6162-8117	22	128	1956	0	99.95%	100%
SRR5963157_k141_2382:3263-5218	22	128	1956	0	99.95%	100%
SRR5963215_k141_343:39721-41676	22	128	1956	0	100.00%	100%
SRR5963368_k141_2938:7591-9546	22	128	1956	0	100.00%	100%
SRR5963396_k141_18982:1566-3521	22	128	1956	0	99.95%	100%
SRR6257458_k119_1498:2760-4715	22	128	1956	0	99.95%	100%
SRR6257512_k119_895:2760-4715	22	128	1956	0	99.95%	100%
SRR6257514_k119_1344:2760-4715	22	128	1956	0	99.95%	100%
SRR9865455_k141_5167:359-2314	22	128	1956	0	99.95%	100%
SRR9865609_k141_6068:1742-3697	22	128	1956	0	100.00%	100%
SRR9865618_k141_6671:3322-5277	22	128	1956	0	99.95%	100%
SRR9865620_k141_2371:3541-5496	22	128	1956	0	100.00%	100%
SRR9865623_k141_6513:312-2267	22	128	1956	0	99.95%	100%
SRR9865656_k141_3767:920-2875	22	128	1956	0	99.95%	100%
SRR9865677_k141_10425:1789-3744	22	128	1956	0	99.95%	100%
SRR9865831_k141_148:3416-5371	22	128	1956	0	99.95%	100%
SRR9865833_k141_1979:23510-25465	22	128	1956	0	99.95%	100%
SRR9865836_k141_1259:20885-22840	22	128	1956	0	99.95%	100%
SRR9865837_k141_794:1789-3744	22	128	1956	0	99.95%	100%
S_ID077_T4_k141_399:701-2656	23	3	1956	1	100	100%
S_ID086_T4_k141_697:701-2656	23	3	1956	0	99.90%	100%
SRR13622609_k141_665:701-2656	23	3	1956	0	100.00%	100%
SRR17722302_k141_1227:1-1953	24	8	1953	1	100	100%
SRR3132441_k141_1005:1-1950	24	8	1950	0	99.95%	99%
SRR21171096_k141_1771:111-2051	24	8	1941	0	100.00%	99%
SRR3132467_k141_5261:163-2103	24	8	1941	0	100.00%	99%
SRR3131941_k141_2591:3-1937	24	8	1935	0	100.00%	99%
SRR3132221_k141_126:1-1932	24	8	1932	0	100.00%	98%
SRR3131708_k141_277:3-1928	24	8	1926	0	100.00%	98%
SRR3132083_k141_3101:1-1926	24	8	1926	0	99.95%	98%
SRR17779771_k141_478:687-2627	25	1	1941	1	100	100%
SRR9865454_k141_4292:624-2546	26	3	1923	1	100	100%
SRR9865626_k141_2193:630-2552	26	3	1923	0	99.95%	100%
SRR6257468_k119_174:113-1984	26	3	1872	0	100.00%	97%
ERR4406616_k141_6716:67-1983	27	3	1917	1	100	100%
SRR17713671_k141_3380:1125-3041	27	3	1917	0	100.00%	100%
SRR3131734_k141_8372:320-2236	27	3	1917	0	100.00%	100%
ERR4406727_k141_5461:3994-5910	28	12	1917	1	100	100%
SRR13774642_k141_680:2242-4158	28	12	1917	0	99.17%	100%
SRR13774648_k141_396:6642-8558	28	12	1917	0	99.17%	100%
SRR17722252_k141_3244:1890-3806	28	12	1917	0	99.17%	100%
SRR17722253_k141_2041:684-2600	28	12	1917	0	99.17%	100%
SRR17780480_k141_1013:12125-14041	28	12	1917	0	99.48%	100%
SRR17780630_k141_658:30707-32623	28	12	1917	0	99.58%	100%
SRR17780631_k141_759:30707-32623	28	12	1917	0	99.58%	100%
SRR17780632_k141_383:2078-3994	28	12	1917	0	99.58%	100%
SRR17780755_k141_148:12125-14041	28	12	1917	0	99.53%	100%
SRR21171185_k141_2631:8197-10113	28	12	1917	0	99.48%	100%
SRR3131854_k141_5613:2275-4146	28	12	1872	0	99.41%	97%
ERR4406759_k141_306:12089-14005	29	11	1917	1	100	100%
SRR13774473_k141_3286:12127-14043	29	11	1917	0	99.37%	100%
SRR17722106_k141_1356:1972-3888	29	11	1917	0	99.95%	100%
SRR17722385_k141_3860:1711-3627	29	11	1917	0	99.27%	100%
SRR17722404_k141_878:527-2443	29	11	1917	0	99.95%	100%
SRR17722410_k141_124:12125-14041	29	11	1917	0	99.95%	100%
SRR17722700_k141_181:12125-14041	29	11	1917	0	99.95%	100%
SRR5963426_k141_1492:2699-4615	29	11	1917	0	99.84%	100%
SRR6257512_k119_135:3798-5714	29	11	1917	0	99.48%	100%
SRR6257518_k119_2125:80-1996	29	11	1917	0	99.48%	100%
SRR3131999_k141_3503:1-1908	29	11	1908	0	99.95%	99%
ERR4406762_k141_2348:3427-5343	30	7	1917	1	100	100%
ERR4407085_k141_3231:1717-3633	30	7	1917	0	100.00%	100%
ERR4407174_k141_5343:2551-4467	30	7	1917	0	100.00%	100%
S_ID077_T1_k141_25926:6981-8897	30	7	1917	0	100.00%	100%
SRR17722585_k141_5037:1350-3266	30	7	1917	0	100.00%	100%
